C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280.son DE_EMBEDDED Lk=0.0 l=280.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res1_w1_l280
13.052,-0.00184512
13.0522,-0.00184549
13.0524,-0.00184586
13.0526,-0.00184624
13.0528,-0.00184661
13.053,-0.00184698
13.0532,-0.00184735
13.0534,-0.00184772
13.0536,-0.0018481
13.0538,-0.00184847
13.054,-0.00184885
13.0542,-0.00184922
13.0544,-0.00184959
13.0546,-0.00184997
13.0548,-0.00185035
13.055,-0.00185072
13.0552,-0.0018511
13.0554,-0.00185147
13.0556,-0.00185185
13.0558,-0.00185223
13.056,-0.00185261
13.0562,-0.00185298
13.0564,-0.00185336
13.0566,-0.00185374
13.0568,-0.00185412
13.057,-0.0018545
13.0572,-0.00185488
13.0574,-0.00185526
13.0576,-0.00185564
13.0578,-0.00185602
13.058,-0.0018564
13.0582,-0.00185679
13.0584,-0.00185717
13.0586,-0.00185755
13.0588,-0.00185793
13.059,-0.00185832
13.0592,-0.0018587
13.0594,-0.00185908
13.0596,-0.00185947
13.0598,-0.00185985
13.06,-0.00186024
13.0602,-0.00186063
13.0604,-0.00186101
13.0606,-0.0018614
13.0608,-0.00186179
13.061,-0.00186217
13.0612,-0.00186256
13.0614,-0.00186295
13.0616,-0.00186334
13.0618,-0.00186373
13.062,-0.00186412
13.0622,-0.00186451
13.0624,-0.0018649
13.0626,-0.00186529
13.0628,-0.00186568
13.063,-0.00186607
13.0632,-0.00186646
13.0634,-0.00186685
13.0636,-0.00186725
13.0638,-0.00186764
13.064,-0.00186803
13.0642,-0.00186843
13.0644,-0.00186882
13.0646,-0.00186922
13.0648,-0.00186961
13.065,-0.00187001
13.0652,-0.00187041
13.0654,-0.0018708
13.0656,-0.0018712
13.0658,-0.0018716
13.066,-0.00187199
13.0662,-0.00187239
13.0664,-0.00187279
13.0666,-0.00187319
13.0668,-0.00187359
13.067,-0.00187399
13.0672,-0.00187439
13.0674,-0.00187479
13.0676,-0.00187519
13.0678,-0.00187559
13.068,-0.001876
13.0682,-0.0018764
13.0684,-0.0018768
13.0686,-0.00187721
13.0688,-0.00187761
13.069,-0.00187801
13.0692,-0.00187842
13.0694,-0.00187882
13.0696,-0.00187923
13.0698,-0.00187964
13.07,-0.00188004
13.0702,-0.00188045
13.0704,-0.00188086
13.0706,-0.00188127
13.0708,-0.00188167
13.071,-0.00188208
13.0712,-0.00188249
13.0714,-0.0018829
13.0716,-0.00188331
13.0718,-0.00188372
13.072,-0.00188414
13.0722,-0.00188455
13.0724,-0.00188496
13.0726,-0.00188537
13.0728,-0.00188578
13.073,-0.0018862
13.0732,-0.00188661
13.0734,-0.00188703
13.0736,-0.00188744
13.0738,-0.00188786
13.074,-0.00188827
13.0742,-0.00188869
13.0744,-0.00188911
13.0746,-0.00188952
13.0748,-0.00188994
13.075,-0.00189036
13.0752,-0.00189078
13.0754,-0.0018912
13.0756,-0.00189162
13.0758,-0.00189204
13.076,-0.00189246
13.0762,-0.00189288
13.0764,-0.0018933
13.0766,-0.00189373
13.0768,-0.00189415
13.077,-0.00189457
13.0772,-0.00189499
13.0774,-0.00189542
13.0776,-0.00189584
13.0778,-0.00189627
13.078,-0.00189669
13.0782,-0.00189712
13.0784,-0.00189755
13.0786,-0.00189797
13.0788,-0.0018984
13.079,-0.00189883
13.0792,-0.00189926
13.0794,-0.00189969
13.0796,-0.00190012
13.0798,-0.00190055
13.08,-0.00190098
13.0802,-0.00190141
13.0804,-0.00190184
13.0806,-0.00190228
13.0808,-0.00190271
13.081,-0.00190314
13.0812,-0.00190358
13.0814,-0.00190401
13.0816,-0.00190444
13.0818,-0.00190488
13.082,-0.00190532
13.0822,-0.00190575
13.0824,-0.00190619
13.0826,-0.00190663
13.0828,-0.00190707
13.083,-0.0019075
13.0832,-0.00190794
13.0834,-0.00190838
13.0836,-0.00190882
13.0838,-0.00190926
13.084,-0.00190971
13.0842,-0.00191015
13.0844,-0.00191059
