C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\sondata\DARTWARS_TestChip_res2_w2_l320_param.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res2_w2_l320_param
3.055,-0.000394909
3.06,-0.000396064
3.065,-0.00039722
3.07,-0.000398377
3.075,-0.000399535
3.08,-0.000400694
3.085,-0.000401854
3.09,-0.000403016
3.095,-0.000404178
3.1,-0.000405341
3.105,-0.000406505
3.11,-0.00040767
3.115,-0.000408837
3.12,-0.000410004
3.125,-0.000411172
3.13,-0.000412341
3.135,-0.000413512
3.14,-0.000414683
3.145,-0.000415855
3.15,-0.000417028
3.155,-0.000418202
3.16,-0.000419377
3.165,-0.000420553
3.17,-0.00042173
3.175,-0.000422908
3.18,-0.000424086
3.185,-0.000425266
3.19,-0.000426447
3.195,-0.000427628
3.2,-0.000428811
3.205,-0.000429994
3.21,-0.000431179
3.215,-0.000432364
3.22,-0.00043355
3.225,-0.000434737
3.23,-0.000435925
3.235,-0.000437113
3.24,-0.000438303
3.245,-0.000439494
3.25,-0.000440685
3.255,-0.000441877
3.26,-0.00044307
3.265,-0.000444264
3.27,-0.000445459
3.275,-0.000446655
3.28,-0.000447851
3.285,-0.000449048
3.29,-0.000450246
3.295,-0.000451445
3.3,-0.000452645
3.305,-0.000453846
3.31,-0.000455047
3.315,-0.000456249
3.32,-0.000457452
3.325,-0.000458656
3.33,-0.00045986
3.335,-0.000461066
3.34,-0.000462272
3.345,-0.000463479
3.35,-0.000464686
3.355,-0.000465895
3.36,-0.000467104
3.365,-0.000468314
3.37,-0.000469524
3.375,-0.000470735
3.38,-0.000471948
3.385,-0.00047316
3.39,-0.000474374
3.395,-0.000475588
3.4,-0.000476803
3.405,-0.000478019
3.41,-0.000479235
3.415,-0.000480452
3.42,-0.00048167
3.425,-0.000482889
3.43,-0.000484108
3.435,-0.000485327
3.44,-0.000486548
3.445,-0.000487769
3.45,-0.000488991
3.455,-0.000490213
3.46,-0.000491437
3.465,-0.00049266
3.47,-0.000493885
3.475,-0.00049511
3.48,-0.000496335
3.485,-0.000497562
3.49,-0.000498789
3.495,-0.000500016
3.5,-0.000501244
3.505,-0.000502473
3.51,-0.000503703
3.515,-0.000504933
3.52,-0.000506163
3.525,-0.000507394
3.53,-0.000508626
3.535,-0.000509858
3.54,-0.000511091
3.545,-0.000512324
3.55,-0.000513558
3.555,-0.000514793
3.56,-0.000516028
3.565,-0.000517264
3.57,-0.0005185
3.575,-0.000519737
3.58,-0.000520974
3.585,-0.000522212
3.59,-0.00052345
3.595,-0.000524689
3.6,-0.000525928
3.605,-0.000527168
3.61,-0.000528408
3.615,-0.000529649
3.62,-0.00053089
3.625,-0.000532132
3.63,-0.000533374
3.635,-0.000534617
3.64,-0.00053586
3.645,-0.000537104
3.65,-0.000538348
3.655,-0.000539592
3.66,-0.000540837
3.665,-0.000542083
3.67,-0.000543329
3.675,-0.000544575
3.68,-0.000545822
3.685,-0.000547069
3.69,-0.000548316
3.695,-0.000549564
3.7,-0.000550813
3.705,-0.000552062
3.71,-0.000553311
3.715,-0.00055456
3.72,-0.00055581
3.725,-0.000557061
3.73,-0.000558311
3.735,-0.000559563
3.74,-0.000560814
3.745,-0.000562066
3.75,-0.000563318
3.755,-0.00056457
3.76,-0.000565823
3.765,-0.000567077
3.77,-0.00056833
3.775,-0.000569584
3.78,-0.000570838
3.785,-0.000572093
3.79,-0.000573347
3.795,-0.000574603
3.8,-0.000575858
3.805,-0.000577114
3.81,-0.00057837
3.815,-0.000579626
3.82,-0.000580883
3.825,-0.00058214
3.83,-0.000583397
3.835,-0.000584654
3.84,-0.000585912
3.845,-0.00058717
3.85,-0.000588428
3.855,-0.000589686
3.86,-0.000590945
3.865,-0.000592204
3.87,-0.000593463
3.875,-0.000594722
3.88,-0.000595982
3.885,-0.000597242
3.89,-0.000598502
3.895,-0.000599762
3.9,-0.000601022
3.905,-0.000602283
3.91,-0.000603544
3.915,-0.000604805
3.92,-0.000606066
3.925,-0.000607327
3.93,-0.000608589
3.935,-0.00060985
3.94,-0.000611112
3.945,-0.000612374
3.95,-0.000613636
3.955,-0.000614898
3.96,-0.000616161
3.965,-0.000617423
3.97,-0.000618686
3.975,-0.000619949
3.98,-0.000621212
3.985,-0.000622475
3.99,-0.000623738
3.995,-0.000625001
4,-0.000626264
4.005,-0.000627527
4.01,-0.000628791
4.015,-0.000630054
4.02,-0.000631318
4.025,-0.000632582
4.03,-0.000633845
4.035,-0.000635109
4.04,-0.000636373
4.045,-0.000637637
4.05,-0.000638901
4.055,-0.000640165
4.06,-0.000641429
4.065,-0.000642693
4.07,-0.000643957
4.075,-0.000645221
4.08,-0.000646485
4.085,-0.000647749
4.09,-0.000649013
4.095,-0.000650277
4.1,-0.000651541
4.105,-0.000652805
4.11,-0.000654069
4.115,-0.000655333
4.12,-0.000656597
4.125,-0.000657861
4.13,-0.000659125
4.135,-0.000660389
4.14,-0.000661652
4.145,-0.000662916
4.15,-0.000664179
4.155,-0.000665443
4.16,-0.000666706
4.165,-0.00066797
4.17,-0.000669233
4.175,-0.000670496
4.18,-0.000671759
4.185,-0.000673022
4.19,-0.000674285
4.195,-0.000675548
4.2,-0.00067681
4.205,-0.000678073
4.21,-0.000679335
4.215,-0.000680597
4.22,-0.000681859
4.225,-0.000683121
4.23,-0.000684383
4.235,-0.000685644
4.24,-0.000686906
4.245,-0.000688167
4.25,-0.000689428
4.255,-0.000690689
4.26,-0.000691949
4.265,-0.00069321
4.27,-0.00069447
4.275,-0.00069573
4.28,-0.000696989
4.285,-0.000698249
4.29,-0.000699508
4.295,-0.000700767
4.3,-0.000702026
4.305,-0.000703285
4.31,-0.000704543
4.315,-0.000705801
4.32,-0.000707059
4.325,-0.000708316
