 Sonnet Data File
 From: sonnet Version : 18.56
 From Project: DARTWARS_TestChip_res2_w2_l320
 Data is De-embedded 
 Data File Written: 10/09/2024 13:45:04
Project Date: 06/30/2023 17:10:43
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z13],IM[Z13],RE[Z21],IM[Z21],RE[Z22],IM[Z22],RE[Z23],IM[Z23],RE[Z31],IM[Z31],RE[Z32],IM[Z32],RE[Z33],IM[Z33]
Lk = 5.0
l = 320.0
0.100000000000000,2.681664005e-11,-4477.713973103,1.844679713e-10,-4478.002034518,-3.26377814e-12,55.909606887595,8.020789154e-11,-4478.002034519,2.379991742e-10,-4477.713970211,-3.93191035e-12,55.909610269384,-2.68007838e-12,55.909606961278,-4.64994709e-12,55.909610343060,6.829035254e-11,-4247.596456917
0.125000000000000,9.6800660384e-5,-3582.080878175,9.5933674408e-5,-3582.440991185,-6.329285385e-4,44.728166868260,9.5933674403e-5,-3582.440991185,9.8913988356e-5,-3582.080935573,-6.713035575e-4,44.728185082739,-6.329285385e-4,44.728166868260,-6.713035575e-4,44.728185082739,6.4602955532e-4,-3397.721538633
0.150000000000000,1.1791698157e-4,-2984.975402968,1.1560380863e-4,-2985.407556877,-8.125123422e-4,37.273724591386,1.1560380865e-4,-2985.407556877,1.2076301509e-4,-2984.975496588,-8.740373727e-4,37.273752507048,-8.125123422e-4,37.273724591386,-8.740373727e-4,37.273752507048,8.6818997750e-4,-2831.065616612
0.175000000000000,1.1308167442e-4,-2558.457147035,1.0906952764e-4,-2558.961336671,-8.256222834e-4,31.949048199847,1.0906952763e-4,-2558.961336671,1.1593736254e-4,-2558.457263259,-9.016890990e-4,31.949082879421,-8.256222834e-4,31.949048199847,-9.016890990e-4,31.949082879421,9.2520164836e-4,-2426.250739134
0.200000000000000,9.9567091486e-5,-2238.555907188,9.3759200081e-5,-2239.132130285,-7.750863329e-4,27.955498745219,9.3759200078e-5,-2239.132130285,1.0202683100e-4,-2238.556037613,-8.603927925e-4,27.955538349586,-7.750863329e-4,27.955498745219,-8.603927925e-4,27.955538349586,9.1275569121e-4,-2122.587221849
0.225000000000000,8.3934141460e-5,-1989.732679752,7.6317977238e-5,-1990.380935792,-7.019883611e-4,24.849378814331,7.6317977222e-5,-1990.380935792,8.5766261220e-5,-1989.732818877,-7.930670909e-4,24.849422115334,-7.019883611e-4,24.849378814331,-7.930670909e-4,24.849422115334,8.7068603703e-4,-1886.358293506
0.250000000000000,6.8755641601e-5,-1790.664061650,5.9367178793e-5,-1791.384351278,-6.237599847e-4,22.364465856815,5.9367178802e-5,-1791.384351278,6.9830948102e-5,-1790.664205707,-7.182427408e-4,22.364511993621,-6.237599847e-4,22.364465856815,-7.182427408e-4,22.364511993621,8.1689508287e-4,-1697.333765383
0.275000000000000,5.4993829011e-5,-1627.780614088,4.3897995573e-5,-1628.572938800,-5.479150739e-4,20.331343485069,4.3897995558e-5,-1628.572938800,5.5246529341e-5,-1627.780760413,-6.441315064e-4,20.331391831241,-5.479150739e-4,20.331343485069,-6.441315064e-4,20.331391831241,7.5980070657e-4,-1542.639818560
0.300000000000000,4.2930762597e-5,-1492.036044280,3.0210141500e-5,-1492.900406235,-4.775496442e-4,18.637066348961,3.0210141494e-5,-1492.900406235,4.2335881867e-5,-1492.036190942,-5.742932657e-4,18.637116434887,-4.775496442e-4,18.637066348961,-5.742932657e-4,18.637116434887,7.0342380258e-4,-1413.693873700
0.325000000000000,3.2558408140e-5,-1377.167533963,1.8306240051e-5,-1378.103935870,-4.137207799e-4,17.203440891481,1.8306240045e-5,-1378.103935870,3.1117804719e-5,-1377.167679538,-5.101049656e-4,17.203492356607,-4.137207799e-4,17.203440891481,-5.101049656e-4,17.203492356607,6.4964401152e-4,-1304.554126141
0.350000000000000,2.3750569593e-5,-1278.701641408,8.0663102464e-6,-1279.710086454,-3.565355417e-4,15.974614198860,8.0663102587e-6,-1279.710086454,2.1484054196e-5,-1278.701784831,-4.519009781e-4,15.974666760961,-3.565355417e-4,15.974614198860,-4.519009781e-4,15.974666760961,5.9926387071e-4,-1210.976418380
0.375000000000000,1.6340543345e-5,-1193.357842593,-6.730632343e-7,-1194.438334395,-3.056696765e-4,14.909627234098,-6.730632217e-7,-1194.438334395,1.3280024732e-5,-1193.357983065,-3.995226781e-4,14.909680668769,-3.056696765e-4,14.909627234098,-3.995226781e-4,14.909680668769,5.5253560902e-4,-1129.848361207
0.400000000000000,1.0156097512e-5,-1118.675744435,-8.082862502e-6,-1119.828287001,-2.606208025e-4,13.977760567692,-8.082862509e-6,-1119.828287001,6.3414998020e-6,-1118.675881348,-3.525909219e-4,13.977814694222,-2.606208025e-4,13.977760567692,-3.525909219e-4,13.977814694222,5.0943135495e-4,-1058.835658179
0.425000000000000,5.0347631327e-6,-1052.773869812,-1.432568403e-5,-1053.998467524,-2.208329271e-4,13.155522769373,-1.432568403e-5,-1053.998467524,5.1126077340e-7,-1052.774002710,-3.106430486e-4,13.155577440765,-2.208329271e-4,13.155522769373,-3.106430486e-4,13.155577440765,4.6978532528e-4,-996.1532560651
0.450000000000000,8.2967300684e-7,-994.1888475848,-1.954950904e-5,-995.4855051780,-1.857567667e-4,12.424642656373,-1.954950904e-5,-995.4855051780,-4.354297988e-6,-994.1889761249,-2.732015228e-4,12.424697752108,-1.857567667e-4,12.424642656373,-2.732015228e-4,12.424697752108,4.3336980417e-4,-940.4127780773
0.475000000000000,-2.589043245e-6,-941.7653847058,-2.388603025e-5,-943.1341072572,-1.548774416e-4,11.770695560848,-2.388603025e-5,-943.1341072572,-8.383221833e-6,-941.7655086351,-2.398073230e-4,11.770750981549,-1.548774416e-4,11.770695560848,-2.398073230e-4,11.770750981549,3.9993587828e-4,-890.5181358459
0.500000000000000,-5.334792725e-6,-894.5792466998,-2.745099892e-5,-896.0200396182,-1.277254769e-4,11.182141712325,-2.745099893e-5,-896.0200396182,-1.168816138e-5,-894.5793658355,-2.100349292e-4,11.182197375730,-1.277254769e-4,11.182141712325,-2.100349292e-4,11.182197375730,3.6923493958e-4,-845.5924576565
0.525000000000000,-7.505904783e-6,-851.8822437203,-3.034545526e-5,-853.3951127395,-1.038793362e-4,10.649639365024,-3.034545527e-5,-853.3951127395,-1.436745205e-5,-851.8823579360,-1.834977032e-4,10.649695202910,-1.038793362e-4,10.649639365024,-1.834977032e-4,10.649695202910,3.4102967828e-4,-804.9258942398
