C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=0.0 l=320.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res2_w2_l320
11.208,-0.00103107
11.209,-0.00103138
11.21,-0.00103168
11.211,-0.00103199
11.212,-0.0010323
11.213,-0.00103261
11.214,-0.00103292
11.215,-0.00103323
11.216,-0.00103354
11.217,-0.00103385
11.218,-0.00103416
11.219,-0.00103447
11.22,-0.00103478
11.221,-0.00103509
11.222,-0.0010354
11.223,-0.00103571
11.224,-0.00103602
11.225,-0.00103633
11.226,-0.00103664
11.227,-0.00103695
11.228,-0.00103727
11.229,-0.00103758
11.23,-0.00103789
11.231,-0.0010382
11.232,-0.00103851
11.233,-0.00103882
11.234,-0.00103914
11.235,-0.00103945
11.236,-0.00103976
11.237,-0.00104007
11.238,-0.00104039
11.239,-0.0010407
11.24,-0.00104101
11.241,-0.00104132
11.242,-0.00104164
11.243,-0.00104195
11.244,-0.00104226
11.245,-0.00104258
11.246,-0.00104289
11.247,-0.0010432
11.248,-0.00104352
11.249,-0.00104383
11.25,-0.00104415
11.251,-0.00104446
11.252,-0.00104478
11.253,-0.00104509
11.254,-0.00104541
11.255,-0.00104572
11.256,-0.00104604
11.257,-0.00104635
11.258,-0.00104667
11.259,-0.00104698
11.26,-0.0010473
11.261,-0.00104761
11.262,-0.00104793
11.263,-0.00104825
11.264,-0.00104856
11.265,-0.00104888
11.266,-0.00104919
11.267,-0.00104951
11.268,-0.00104983
11.269,-0.00105014
11.27,-0.00105046
11.271,-0.00105078
11.272,-0.0010511
11.273,-0.00105141
11.274,-0.00105173
11.275,-0.00105205
11.276,-0.00105237
11.277,-0.00105269
11.278,-0.001053
11.279,-0.00105332
11.28,-0.00105364
11.281,-0.00105396
11.282,-0.00105428
11.283,-0.0010546
11.284,-0.00105492
11.285,-0.00105524
11.286,-0.00105556
11.287,-0.00105588
11.288,-0.0010562
11.289,-0.00105652
11.29,-0.00105684
11.291,-0.00105716
11.292,-0.00105748
11.293,-0.0010578
11.294,-0.00105812
11.295,-0.00105844
11.296,-0.00105876
11.297,-0.00105908
11.298,-0.0010594
11.299,-0.00105973
11.3,-0.00106005
11.301,-0.00106037
11.302,-0.00106069
11.303,-0.00106101
11.304,-0.00106134
11.305,-0.00106166
11.306,-0.00106198
11.307,-0.0010623
11.308,-0.00106263
11.309,-0.00106295
11.31,-0.00106327
11.311,-0.0010636
11.312,-0.00106392
11.313,-0.00106424
11.314,-0.00106457
11.315,-0.00106489
11.316,-0.00106522
11.317,-0.00106554
11.318,-0.00106587
11.319,-0.00106619
11.32,-0.00106652
11.321,-0.00106684
11.322,-0.00106717
11.323,-0.00106749
11.324,-0.00106782
11.325,-0.00106814
11.326,-0.00106847
11.327,-0.0010688
11.328,-0.00106912
11.329,-0.00106945
11.33,-0.00106978
11.331,-0.0010701
11.332,-0.00107043
11.333,-0.00107076
11.334,-0.00107108
11.335,-0.00107141
11.336,-0.00107174
11.337,-0.00107207
11.338,-0.0010724
11.339,-0.00107272
11.34,-0.00107305
11.341,-0.00107338
11.342,-0.00107371
11.343,-0.00107404
11.344,-0.00107437
11.345,-0.0010747
11.346,-0.00107503
11.347,-0.00107536
11.348,-0.00107569
11.349,-0.00107602
11.35,-0.00107635
11.351,-0.00107668
11.352,-0.00107701
11.353,-0.00107734
11.354,-0.00107767
11.355,-0.001078
11.356,-0.00107833
11.357,-0.00107866
11.358,-0.00107899
11.359,-0.00107933
11.36,-0.00107966
11.361,-0.00107999
11.362,-0.00108032
11.363,-0.00108066
11.364,-0.00108099
11.365,-0.00108132
11.366,-0.00108165
11.367,-0.00108199
11.368,-0.00108232
11.369,-0.00108265
11.37,-0.00108299
11.371,-0.00108332
11.372,-0.00108366
11.373,-0.00108399
11.374,-0.00108433
11.375,-0.00108466
11.376,-0.001085
11.377,-0.00108533
11.378,-0.00108567
11.379,-0.001086
11.38,-0.00108634
11.381,-0.00108667
11.382,-0.00108701
11.383,-0.00108735
11.384,-0.00108768
11.385,-0.00108802
11.386,-0.00108836
11.387,-0.00108869
11.388,-0.00108903
11.389,-0.00108937
11.39,-0.00108971
11.391,-0.00109004
11.392,-0.00109038
11.393,-0.00109072
11.394,-0.00109106
11.395,-0.0010914
11.396,-0.00109174
11.397,-0.00109208
11.398,-0.00109241
11.399,-0.00109275
11.4,-0.00109309
11.401,-0.00109343
11.402,-0.00109377
11.403,-0.00109411
11.404,-0.00109445
11.405,-0.0010948
11.406,-0.00109514
11.407,-0.00109548
11.408,-0.00109582
11.409,-0.00109616
11.41,-0.0010965
11.411,-0.00109684
11.412,-0.00109719
11.413,-0.00109753
11.414,-0.00109787
11.415,-0.00109821
11.416,-0.00109856
11.417,-0.0010989
11.418,-0.00109924
11.419,-0.00109959
11.42,-0.00109993
11.421,-0.00110028
11.422,-0.00110062
11.423,-0.00110096
11.424,-0.00110131
11.425,-0.00110165
11.426,-0.001102
11.427,-0.00110234
11.428,-0.00110269
11.429,-0.00110304
11.43,-0.00110338
11.431,-0.00110373
11.432,-0.00110408
11.433,-0.00110442
11.434,-0.00110477
11.435,-0.00110512
11.436,-0.00110546
11.437,-0.00110581
11.438,-0.00110616
11.439,-0.00110651
11.44,-0.00110686
11.441,-0.0011072
11.442,-0.00110755
11.443,-0.0011079
11.444,-0.00110825
11.445,-0.0011086
11.446,-0.00110895
11.447,-0.0011093
11.448,-0.00110965
11.449,-0.00111
11.45,-0.00111035
11.451,-0.0011107
11.452,-0.00111105
11.453,-0.0011114
11.454,-0.00111176
11.455,-0.00111211
11.456,-0.00111246
11.457,-0.00111281
11.458,-0.00111316
11.459,-0.00111352
11.46,-0.00111387
11.461,-0.00111422
11.462,-0.00111458
11.463,-0.00111493
11.464,-0.00111528
11.465,-0.00111564
11.466,-0.00111599
11.467,-0.00111635
11.468,-0.0011167
11.469,-0.00111706
11.47,-0.00111741
11.471,-0.00111777
11.472,-0.00111812
11.473,-0.00111848
11.474,-0.00111884
11.475,-0.00111919
11.476,-0.00111955
11.477,-0.00111991
11.478,-0.00112026
11.479,-0.00112062
11.48,-0.00112098
11.481,-0.00112134
11.482,-0.00112169
11.483,-0.00112205
11.484,-0.00112241
11.485,-0.00112277
11.486,-0.00112313
11.487,-0.00112349
11.488,-0.00112385
11.489,-0.00112421
11.49,-0.00112457
11.491,-0.00112493
11.492,-0.00112529
11.493,-0.00112565
11.494,-0.00112601
11.495,-0.00112638
11.496,-0.00112674
11.497,-0.0011271
11.498,-0.00112746
11.499,-0.00112783
11.5,-0.00112819
11.501,-0.00112855
11.502,-0.00112892
11.503,-0.00112928
11.504,-0.00112964
11.505,-0.00113001
11.506,-0.00113037
11.507,-0.00113074
11.508,-0.0011311
11.509,-0.00113147
11.51,-0.00113183
11.511,-0.0011322
11.512,-0.00113257
11.513,-0.00113293
11.514,-0.0011333
11.515,-0.00113367
11.516,-0.00113403
11.517,-0.0011344
11.518,-0.00113477
11.519,-0.00113514
11.52,-0.00113551
11.521,-0.00113588
11.522,-0.00113624
