C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res2_w2_l320
9.58,-0.00144034
9.6,-0.00143905
9.62,-0.00143773
9.64,-0.00143638
9.66,-0.001435
9.68,-0.00143359
9.7,-0.00143215
9.72,-0.00143067
9.74,-0.00142917
9.76,-0.00142764
9.78,-0.00142607
9.8,-0.00142448
9.82,-0.00142286
9.84,-0.0014212
9.86,-0.00141952
9.88,-0.00141781
9.9,-0.00141607
9.92,-0.0014143
9.94,-0.0014125
9.96,-0.00141067
9.98,-0.00140882
10,-0.00140693
