7.411434420000000000e+09,-5.050865169999999710e-02,-7.834931539999999417e-02
7.411444421000000000e+09,-5.096626239999999669e-02,-7.785875999999999908e-02
7.411454422000000000e+09,-5.093161959999999849e-02,-7.747339729999999647e-02
7.411464423000000000e+09,-5.107237120000000102e-02,-7.736456980000000483e-02
7.411474424000000000e+09,-5.108986270000000218e-02,-7.724879689999999965e-02
7.411484425000000000e+09,-5.114124309999999729e-02,-7.719406330000000427e-02
7.411494426000000000e+09,-5.113682280000000219e-02,-7.712486150000000262e-02
7.411504427000000000e+09,-5.113402169999999719e-02,-7.711295140000000436e-02
7.411514428000000000e+09,-5.119642590000000187e-02,-7.703333749999999314e-02
7.411524429000000000e+09,-5.119208150000000013e-02,-7.702460690000000054e-02
7.411534430000000000e+09,-5.118484999999999702e-02,-7.696164449999999546e-02
7.411544431000000000e+09,-5.119061589999999995e-02,-7.693612769999999546e-02
7.411554432000000000e+09,-5.114950439999999682e-02,-7.692136619999999370e-02
7.411564433000000000e+09,-5.119621280000000163e-02,-7.690257170000000531e-02
7.411574434000000000e+09,-5.121755769999999930e-02,-7.684214239999999363e-02
7.411584435000000000e+09,-5.115472559999999919e-02,-7.684000180000000180e-02
7.411594436000000000e+09,-5.118957600000000052e-02,-7.680809680000000306e-02
7.411604437000000000e+09,-5.116463360000000210e-02,-7.677398250000000424e-02
7.411614438000000000e+09,-5.123093759999999830e-02,-7.677020410000000294e-02
7.411624439000000000e+09,-5.121305720000000200e-02,-7.673784579999999578e-02
7.411634440000000000e+09,-5.113434699999999666e-02,-7.670598920000000487e-02
7.411644441000000000e+09,-5.113669440000000177e-02,-7.668225250000000603e-02
7.411654442000000000e+09,-5.118877289999999858e-02,-7.662525920000000379e-02
7.411664443000000000e+09,-5.121822499999999917e-02,-7.669144540000000232e-02
7.411674444000000000e+09,-5.115218459999999745e-02,-7.664737620000000584e-02
7.411684445000000000e+09,-5.110410010000000086e-02,-7.662579760000000351e-02
7.411694446000000000e+09,-5.113400819999999736e-02,-7.666744200000000231e-02
7.411704447000000000e+09,-5.115921720000000256e-02,-7.660095399999999888e-02
7.411714448000000000e+09,-5.115742420000000262e-02,-7.666241229999999629e-02
7.411724449000000000e+09,-5.115748710000000282e-02,-7.658674279999999612e-02
7.411734450000000000e+09,-5.113932439999999829e-02,-7.657190199999999725e-02
7.411744451000000000e+09,-5.106071529999999664e-02,-7.650268920000000139e-02
7.411754452000000000e+09,-5.113603390000000248e-02,-7.649918769999999868e-02
7.411764453000000000e+09,-5.109276859999999781e-02,-7.648920230000000320e-02
7.411774454000000000e+09,-5.114158939999999959e-02,-7.651013610000000076e-02
7.411784455000000000e+09,-5.111160230000000304e-02,-7.648897829999999620e-02
7.411794456000000000e+09,-5.107319669999999673e-02,-7.648009259999999365e-02
7.411804457000000000e+09,-5.104656199999999672e-02,-7.645784740000000079e-02
7.411814458000000000e+09,-5.103662579999999893e-02,-7.645978139999999590e-02
7.411824459000000000e+09,-5.106287629999999717e-02,-7.641771029999999687e-02
7.411834460000000000e+09,-5.108740769999999681e-02,-7.642200940000000442e-02
7.411844461000000000e+09,-5.105363599999999946e-02,-7.639674489999999374e-02
7.411854462000000000e+09,-5.111030849999999986e-02,-7.638112939999999740e-02
7.411864463000000000e+09,-5.102693049999999786e-02,-7.639387179999999888e-02
7.411874464000000000e+09,-5.106663680000000233e-02,-7.638223519999999545e-02
7.411884465000000000e+09,-5.099659439999999766e-02,-7.640302429999999700e-02
7.411894466000000000e+09,-5.105101220000000245e-02,-7.634933620000000642e-02
7.411904467000000000e+09,-5.099825560000000035e-02,-7.637639490000000531e-02
7.411914468000000000e+09,-5.095475630000000089e-02,-7.629397609999999386e-02
7.411924469000000000e+09,-5.101663599999999715e-02,-7.634670429999999841e-02
7.411934470000000000e+09,-5.096101010000000237e-02,-7.635992880000000427e-02
7.411944471000000000e+09,-5.096175919999999804e-02,-7.628508589999999367e-02
7.411954472000000000e+09,-5.097602560000000227e-02,-7.629725839999999815e-02
7.411964473000000000e+09,-5.098100469999999884e-02,-7.625355690000000519e-02
7.411974474000000000e+09,-5.094006870000000048e-02,-7.625178209999999845e-02
7.411984475000000000e+09,-5.099726539999999836e-02,-7.624772959999999433e-02
7.411994476000000000e+09,-5.091128119999999840e-02,-7.624660390000000121e-02
7.412004477000000000e+09,-5.096110529999999667e-02,-7.617884210000000489e-02
7.412014478000000000e+09,-5.095869420000000150e-02,-7.619825030000000610e-02
7.412024479000000000e+09,-5.091434639999999762e-02,-7.621577960000000540e-02
7.412034480000000000e+09,-5.091834759999999682e-02,-7.616054719999999778e-02
7.412044481000000000e+09,-5.092656420000000322e-02,-7.618046520000000543e-02
7.412054482000000000e+09,-5.089903750000000088e-02,-7.614023559999999469e-02
7.412064483000000000e+09,-5.088800830000000247e-02,-7.614636739999999793e-02
7.412074484000000000e+09,-5.086080550000000172e-02,-7.614541489999999968e-02
7.412084485000000000e+09,-5.087275200000000025e-02,-7.611574270000000253e-02
7.412094486000000000e+09,-5.084122289999999655e-02,-7.615501090000000028e-02
7.412104487000000000e+09,-5.085800599999999727e-02,-7.619142339999999958e-02
7.412114488000000000e+09,-5.090422289999999711e-02,-7.615446709999999786e-02
7.412124489000000000e+09,-5.084087739999999800e-02,-7.605690619999999624e-02
7.412134490000000000e+09,-5.084171269999999965e-02,-7.605116189999999721e-02
7.412144491000000000e+09,-5.080943160000000319e-02,-7.609401220000000521e-02
7.412154492000000000e+09,-5.082934310000000039e-02,-7.610154130000000572e-02
